username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DerKonigMartin;2017-10-16 07:59;0;0;"Where I live all od’s have one thing in common, opioid abuse prior to heroin use! Once they can get them prescribed they use illicit drugs!";;;;"919895670126936064";https://twitter.com/DerKonigMartin/status/919895670126936064
jillianneathey;2017-10-15 17:27;0;19;"I don't see how you can get to a point where heroin seems like a great idea";;;;"919676042771656704";https://twitter.com/jillianneathey/status/919676042771656704
sjamesthornton;2017-10-11 00:00;0;0;"Hey so I googled Tori being busted for the heroin ..lol..but all I found are from 2016. Where can I get the info on it?";;;;"917963208408948736";https://twitter.com/sjamesthornton/status/917963208408948736
faceofffacts;2017-10-08 23:37;0;17;"my roommate asked me what drug to get to stay focused and awake then asked if i know where he can get heroin . he won’t even smoke weed.";;;;"917232465743437824";https://twitter.com/faceofffacts/status/917232465743437824
PaymanBenz;2017-10-06 18:26;0;0;"I can go to Skid Row & have heroin /meth within minutes. Guns? Who would I get a gun from? Imagine doing it. Where would you go?";;;;"916429358411026432";https://twitter.com/PaymanBenz/status/916429358411026432
internetalena;2017-10-04 20:14;0;5;"The defense of keeping automatic weapons legal is "they give you an adrenaline rush." Cool where can I get my heroin ?";;;;"915731801351495680";https://twitter.com/internetalena/status/915731801351495680
666shade666;2017-09-29 20:24;0;0;"This shit still funny “ You know where I can get some heroin ?” https:// twitter.com/boobielootavel i/status/893282970861264896 …";;;;"913922392962981889";https://twitter.com/666shade666/status/913922392962981889
gerryblevins;2017-09-23 07:14;0;0;"Get on google and type in " where can I get heroin in the Philippines" and tell me what response you get .";;;;"911549448358060032";https://twitter.com/gerryblevins/status/911549448358060032
nicki_elson;2017-09-19 19:50;0;0;"( I don't call that mass 'Pope' I call it 'poppadums' its where the heroin came out of + all the women can be paid to get pregnant any time)";;;;"910289927149154304";https://twitter.com/nicki_elson/status/910289927149154304
Conservaticked;2017-09-13 20:05;0;0;"I just need a place where I can get free needles and shoot heroin because of Colonialism, man!";;;;"908119562058596353";https://twitter.com/Conservaticked/status/908119562058596353
bannedaccount;2017-09-10 14:14;0;2;"Where can I get some organic heroin round here?";;;;"906943976246259713";https://twitter.com/bannedaccount/status/906943976246259713
gl1tchsystem;2017-09-01 06:59;0;2;"If Nevada is your daily life I have questions starting with where can I get heroin around here";;;;"903572970727129088";https://twitter.com/gl1tchsystem/status/903572970727129088
ScarletEmpress_;2017-08-29 21:21;0;0;"I 'm glad I 'm at the point in my sobriety where I can turn down dope and still get fucked up on other shit without wanting heroin .";;;;"902702662789058561";https://twitter.com/ScarletEmpress_/status/902702662789058561
EsaaMaria13;2017-08-28 22:15;0;0;"Where can i get some heroin ?";;;;"902354078856032257";https://twitter.com/EsaaMaria13/status/902354078856032257
tylersface;2017-08-27 21:47;0;1;"Where can I get heroin ? Asking for a friend lol xxx";;;;"901984517203910656";https://twitter.com/tylersface/status/901984517203910656
JonsThumbs;2017-08-25 23:45;0;0;"Ok i just read Jelly Roll is slang for heroin . Are jelly rolls really that good and if so where can I get one tonight?";;;;"901289552253526016";https://twitter.com/JonsThumbs/status/901289552253526016
Marcos_El_Malo;2017-08-22 08:35;0;1;"That reminds me. Anyone know where I can get low opioid heroin ?";;;;"899973287748321280";https://twitter.com/Marcos_El_Malo/status/899973287748321280
Heroin_Haze;2017-08-21 08:19;0;0;"There's only one college in the country I can find where I get a proper level 8 degree and it's killing me";;;;"899606958294138880";https://twitter.com/Heroin_Haze/status/899606958294138880
rolandbouman;2017-08-08 03:15;0;1;"OMG HEROIN !1!!1 So where can i get some of that magical milk stuff?";;;;"894819439048359938";https://twitter.com/rolandbouman/status/894819439048359938
maggiie_cook;2017-08-07 17:56;0;12;"someone just came into my bar and ask me where they can get a fix ( heroin ). I 'm done for today. Thank you.";;;;"894678568038432769";https://twitter.com/maggiie_cook/status/894678568038432769
sphasout;2017-08-04 00:28;4;4;"Anyone know where I can get some heroin ? Asking for a friend...";;;;"893327651590598656";https://twitter.com/sphasout/status/893327651590598656
